interaction_id,contact_id,company_id,interaction_date,interaction_type,outcome,notes
1,1,54,2025-01-10 02:35:38.917607,Meeting,No Response,Upon black food ahead least remain look pick.
2,1,54,2025-01-12 02:35:38.917607,Support,Neutral,Order accept wide prevent week.
3,1,54,2024-12-28 02:35:38.917607,Email,No Response,Water yourself trade someone can tell.
4,2,63,2025-04-11 02:35:38.917607,Demo,Positive,Follow area audience weight high.
5,3,44,2024-11-19 02:35:38.917607,Meeting,Negative,Effort drive side human after decade.
6,4,60,2025-01-27 02:35:38.917607,Call,No Response,Single expect sell pressure building make.
7,4,60,2024-10-09 02:35:38.917607,Demo,Positive,Save TV tough page grow benefit.
8,4,60,2025-01-09 02:35:38.917607,Demo,Negative,Mention majority those live none institution.
9,4,60,2023-12-26 02:35:38.917607,Meeting,Positive,Specific pass its international American game.
10,4,60,2024-02-13 02:35:38.917607,Email,Negative,Put positive require us money positive base.
11,5,51,2025-04-07 02:35:38.917607,Call,Neutral,Join trade local chance campaign total success.
12,5,51,2025-04-11 02:35:38.917607,Call,Neutral,Into notice necessary true message member including.
13,5,51,2025-04-09 02:35:38.917607,Support,No Response,Produce nothing effect effort bank me box.
14,5,51,2025-04-10 02:35:38.917607,Call,No Response,Conference consider hotel bar theory fear onto.
15,5,51,2025-04-12 02:35:38.917607,Call,Neutral,Serious last space game truth special decision.
16,5,51,2025-04-12 02:35:38.917607,Demo,No Response,Section page the blood.
17,5,51,2025-04-07 02:35:38.917607,Support,Neutral,Adult house actually pretty least if price.
18,5,51,2025-04-10 02:35:38.917607,Support,No Response,Rise field spend pattern real white push source.
19,5,51,2025-04-10 02:35:38.917607,Email,Neutral,By add born administration.
20,5,51,2025-04-08 02:35:38.917607,Meeting,Positive,Teacher decide possible power job.
21,6,55,2025-03-26 02:35:38.917607,Support,Neutral,Teach Mrs beat show challenge instead bring total.
22,6,55,2025-04-03 02:35:38.917607,Meeting,Neutral,White likely teacher one cut notice.
23,6,55,2025-04-06 02:35:38.917607,Email,Negative,Anything account piece require woman support.
24,6,55,2025-04-07 02:35:38.917607,Support,Negative,Other never fact maintain main opportunity particularly question.
25,6,55,2025-04-04 02:35:38.917607,Support,No Response,Discussion art affect office network environmental possible.
26,6,55,2025-03-26 02:35:38.917607,Meeting,Negative,Bring performance position large job claim risk.
27,6,55,2025-04-06 02:35:38.917607,Support,Neutral,Gas discussion detail training fund own successful.
28,6,55,2025-04-01 02:35:38.917607,Support,Positive,Capital fall represent where strategy pull same.
29,6,55,2025-03-27 02:35:38.917607,Meeting,Positive,Son suddenly perform executive see project can.
30,7,49,2024-10-10 02:35:38.917607,Email,Neutral,Choose man soldier wall management.
