client_id,signup_date,region,acquisition_channel
1,2023-05-11,MENA,Organic
2,2023-11-13,NA,Ads
3,2023-04-13,EU,Ads
4,2023-08-28,MENA,Organic
5,2025-02-24,SEA,Organic
6,2024-02-18,MENA,Organic
7,2023-05-19,EU,Ads
8,2023-08-18,MENA,Ads
9,2023-08-28,SEA,Ads
10,2025-01-23,SEA,Referral
11,2025-04-03,MENA,Ads
12,2024-10-31,SEA,Referral
13,2025-01-01,NA,Ads
14,2025-02-12,EU,Referral
15,2024-06-23,MENA,Organic
16,2023-08-12,SEA,Organic
17,2023-04-30,NA,Referral
18,2024-08-13,NA,Organic
19,2023-08-18,SEA,Organic
20,2023-07-16,SEA,Organic
21,2023-07-05,NA,Referral
22,2025-03-05,EU,Organic
23,2023-05-11,MENA,Ads
24,2023-09-20,NA,Organic
25,2023-06-29,EU,Organic
26,2024-03-12,SEA,Referral
27,2023-09-12,SEA,Referral
28,2025-01-14,EU,Referral
29,2023-07-01,NA,Ads
30,2023-08-03,NA,Organic
31,2024-05-30,EU,Ads
32,2024-05-04,EU,Email
33,2023-12-10,SEA,Referral
34,2023-12-23,EU,Referral
35,2024-02-16,MENA,Ads
36,2023-05-31,MENA,Referral
37,2023-09-02,SEA,Referral
38,2024-08-08,MENA,Ads
39,2024-09-07,NA,Ads
40,2024-09-13,SEA,Email
41,2023-09-24,SEA,Ads
42,2024-03-03,NA,Ads
43,2024-12-31,EU,Referral
44,2023-10-29,SEA,Email
45,2024-06-29,NA,Ads
46,2024-07-27,EU,Email
47,2024-07-23,MENA,Organic
48,2025-01-06,MENA,Ads
49,2024-06-15,EU,Email
50,2024-09-25,MENA,Email
51,2025-01-25,SEA,Email
52,2024-11-07,NA,Organic
53,2024-01-22,MENA,Referral
54,2023-07-26,NA,Organic
55,2024-07-10,NA,Email
56,2023-04-27,EU,Email
57,2023-10-13,MENA,Referral
58,2025-04-01,EU,Organic
59,2023-10-10,NA,Ads
60,2024-06-17,EU,Referral
61,2023-04-24,EU,Organic
62,2024-08-24,NA,Email
63,2023-06-23,MENA,Organic
64,2024-07-26,NA,Referral
65,2024-10-31,EU,Organic
66,2024-08-27,EU,Organic
67,2024-11-24,MENA,Email
68,2025-01-20,MENA,Ads
69,2024-10-19,EU,Email
70,2024-04-14,EU,Referral
71,2023-07-26,SEA,Ads
72,2023-08-26,EU,Referral
73,2024-04-30,SEA,Referral
74,2023-10-14,SEA,Email
75,2023-08-13,MENA,Ads
76,2024-06-05,EU,Organic
77,2023-05-31,NA,Organic
78,2023-11-24,EU,Ads
79,2024-03-12,MENA,Organic
80,2023-12-18,MENA,Ads
81,2023-08-10,MENA,Organic
82,2023-09-13,NA,Organic
83,2024-02-16,EU,Referral
84,2023-07-09,SEA,Ads
85,2023-10-30,EU,Email
86,2023-07-29,EU,Email
87,2024-03-06,SEA,Ads
88,2023-08-03,MENA,Organic
89,2024-02-17,SEA,Referral
90,2024-02-19,SEA,Email
91,2023-09-19,SEA,Organic
92,2024-05-31,MENA,Organic
93,2024-01-25,SEA,Referral
94,2024-08-04,MENA,Ads
95,2023-05-19,EU,Ads
96,2024-05-18,SEA,Ads
97,2024-03-06,SEA,Ads
98,2025-02-11,NA,Email
99,2023-04-26,EU,Organic
100,2024-09-19,SEA,Organic
101,2025-03-11,MENA,Organic
102,2023-05-11,MENA,Ads
103,2024-06-01,EU,Email
104,2024-02-07,SEA,Email
105,2023-11-21,EU,Email
106,2023-04-18,MENA,Ads
107,2023-05-08,SEA,Organic
108,2024-06-09,SEA,Referral
109,2024-11-18,SEA,Referral
110,2025-02-27,SEA,Email
111,2024-01-26,EU,Ads
112,2023-07-20,NA,Ads
113,2024-10-13,MENA,Organic
114,2023-12-29,NA,Organic
115,2024-09-10,MENA,Email
116,2024-11-12,EU,Organic
117,2023-11-05,MENA,Ads
118,2024-06-17,MENA,Organic
119,2024-11-06,EU,Email
120,2024-02-03,MENA,Ads
121,2024-12-19,MENA,Organic
122,2024-01-03,SEA,Referral
123,2023-09-28,NA,Ads
124,2023-04-09,NA,Ads
125,2025-01-24,NA,Email
126,2023-06-15,EU,Referral
127,2024-12-13,SEA,Referral
128,2023-05-22,MENA,Organic
129,2023-10-11,SEA,Organic
130,2024-07-02,MENA,Ads
131,2023-07-27,NA,Ads
132,2025-01-20,NA,Organic
133,2025-03-05,EU,Referral
