price,bedroom,bathroom,area_sqft,country,city,address,property_type,purpose,furnishing,completion_status,handover,project_name,bedrooms,bathrooms,handover_quarter,handover_year
1800000.0,3 beds,4 baths,1208.0,UAE,Dubai,DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off Plan,Q2 2025,Camelia Villas,3.0,4.0,Q2,2025
325000.0,Studio,1 bath,483.0,UAE,Dubai,International City,Apartment,Sale,Unfurnished,Ready,Q2 2025,Camelia Villas,0.0,1.0,Q2,2025
470000.0,Studio,1 bath,428.0,UAE,Dubai,Arjan,Apartment,Sale,Furnished,Ready,Q2 2025,Camelia Villas,0.0,1.0,Q2,2025
1120000.0,1 bed,1 bath,706.0,UAE,Dubai,Dubai South,Apartment,Sale,Unfurnished,Off Plan,Q3 2029,Camelia Villas,1.0,1.0,Q3,2029
2127888.0,2 beds,2 baths,1149.0,UAE,Dubai,Dubai South,Apartment,Sale,Unfurnished,Off Plan,Q3 2029,Camelia Villas,2.0,2.0,Q3,2029
2452888.0,3 beds,4 baths,1572.0,UAE,Dubai,Dubai South,Apartment,Sale,Unfurnished,Off Plan,Q3 2029,Camelia Villas,3.0,4.0,Q3,2029
1740000.0,2 beds,3 baths,1333.0,UAE,Dubai,Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off Plan,Q4 2024,Binghatti Azure,2.0,3.0,Q4,2024
1250000.0,1 bed,2 baths,1001.0,UAE,Dubai,Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2024,Scala Tower,1.0,2.0,Q4,2024
4304444.0,3 beds,4 baths,1842.0,UAE,Dubai,Dubai Islands,Apartment,Sale,Furnished,Off Plan,Q4 2026,Ocean Pearl by SD,3.0,4.0,Q4,2026
300000.0,Studio,1 bath,474.0,UAE,Dubai,International City,Apartment,Sale,Unfurnished,Ready,Q4 2026,Ocean Pearl by SD,0.0,1.0,Q4,2026
508000.0,1 bed,2 baths,675.0,UAE,Dubai,Dubai Investment Park (DIP),Apartment,Sale,Unfurnished,Off Plan,Q2 2026,Verdana Residence 2,1.0,2.0,Q2,2026
666000.0,2 beds,3 baths,923.0,UAE,Dubai,Dubai Investment Park (DIP),Apartment,Sale,Unfurnished,Off Plan,Q4 2025,Verdana Residence,2.0,3.0,Q4,2025
1017000.0,2 beds,3 baths,1820.0,UAE,Dubai,Dubai Investment Park (DIP),Townhouse,Sale,Unfurnished,Off Plan,Q4 2025,Verdana,2.0,3.0,Q4,2025
2800000.0,2 beds,2 baths,1202.0,UAE,Dubai,Sobha Hartland,Apartment,Sale,Furnished,Off Plan,Q4 2025,The Highbury,2.0,2.0,Q4,2025
1500000.0,1 bed,2 baths,871.0,UAE,Dubai,Arjan,Apartment,Sale,Furnished,Off Plan,Q2 2026,Samana Skyros,1.0,2.0,Q2,2026
600000.0,Studio,1 bath,441.0,UAE,Dubai,Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q2 2026,Samana Skyros,0.0,1.0,Q2,2026
855000.0,Studio,1 bath,415.0,UAE,Dubai,Al Jaddaf,Apartment,Sale,Unfurnished,Off Plan,Q1 2026,Binghatti Starlight,0.0,1.0,Q1,2026
3608000.0,2 beds,3 baths,1366.0,UAE,Dubai,Business Bay,Apartment,Sale,Furnished,Off Plan,Q4 2026,Canal Heights,2.0,3.0,Q4,2026
660000.0,Studio,1 bath,332.0,UAE,Dubai,Dubai South,Apartment,Sale,Furnished,Off Plan,Q4 2025,AZIZI VENICE 2,0.0,1.0,Q4,2025
4776667.0,4 beds,5 baths,1973.0,UAE,Dubai,Dubai Islands,Apartment,Sale,Furnished,Off Plan,Q4 2026,Ocean Pearl by SD,4.0,5.0,Q4,2026
1624130.0,2 beds,3 baths,1228.0,UAE,Dubai,Dubai Land Residence Complex,Apartment,Sale,Furnished,Off Plan,Q4 2027,Samana Avenue,2.0,3.0,Q4,2027
