EmployeeID,JoinDate,LastPromotionDate,Age,Gender,Department,Location,JobLevel,EngagementScore,PerformanceScore,ManagerSatisfaction,NumTrainingsCompleted,TenureYears,LeftCompany,AttritionReason
1,2020-06-15,2021-06-15,32,Male,HR,Berlin,4,4.276239763906159,3.8189021846893834,3.834849550640165,4,4,0,
2,2015-05-11,2024-05-08,50,Male,Sales,Berlin,4,8.521030569613053,2.919121865976485,2.8697962313862226,8,9,1,Retired
3,2016-06-01,2024-05-30,28,Male,Product,Berlin,1,6.983924543132068,1.586719755342202,1.4300986009843606,10,8,0,
4,2012-09-19,2013-09-19,50,Other,Product,Berlin,4,5.375424941518054,3.0719539358237657,2.609111795456993,1,12,0,
5,2019-06-16,2019-06-16,33,Male,Marketing,Dubai,3,9.431297537843108,3.274223699513464,3.5810338456255084,4,5,0,
6,2016-07-28,2016-07-28,25,Other,Engineering,New York,5,3.6505036275730864,3.6222191652226794,2.8814772054890563,1,8,0,
7,2015-06-20,2023-06-18,27,Female,Marketing,Remote,4,5.2987226201623905,3.208306250206723,2.777952065324724,0,9,0,
8,2015-06-25,2018-06-24,55,Male,Sales,New York,4,10.0,2.9663511961575133,3.4933665652158483,2,9,0,
9,2013-08-23,2022-08-21,45,Female,Marketing,Remote,5,7.632225653562082,2.7955465496234098,1.846472835413021,7,11,1,Relocation
10,2017-02-24,2020-02-24,54,Other,Marketing,Dubai,5,5.793766695985863,1.3216657531762914,2.247324310118198,7,8,0,
11,2013-06-17,2018-06-16,44,Male,Product,New York,5,6.268703435223519,3.1988963044107113,1.7257736115590872,3,11,1,Relocation
12,2022-09-28,2024-09-27,32,Female,Sales,Dubai,2,5.0603115832105825,3.5964164790302586,4.002922526717172,1,2,1,Lack of growth
13,2014-11-21,2020-11-19,44,Male,Engineering,New York,5,4.813160153281431,2.986674594602834,3.4477558370318024,6,10,0,
14,2012-05-18,2013-05-18,48,Female,Marketing,New York,5,5.949398179507215,4.13630510834517,2.411935197704084,3,12,0,
15,2017-03-16,2023-03-15,32,Female,HR,Remote,5,6.085668219790851,2.87652260501504,1.6902160525430208,9,8,1,Manager conflict
