EmployeeID,RoleStartDate,JobTitle
1,2017-03-04,Director
2,2016-10-04,Manager
3,2018-08-30,Analyst
3,2019-08-30,Senior Analyst
3,2020-08-29,Analyst
4,2017-12-30,Director
5,2016-12-03,Senior Analyst
5,2017-12-03,Manager
6,2021-09-20,Manager
6,2022-09-20,Director
7,2016-01-22,Manager
7,2017-01-21,Analyst
8,2020-01-04,Manager
8,2021-01-03,Analyst
8,2022-01-03,Manager
9,2016-06-29,Director
10,2019-01-06,Manager
10,2020-01-06,Senior Analyst
11,2020-08-24,Analyst
11,2021-08-24,Senior Analyst
12,2022-01-04,Manager
12,2023-01-04,Director
13,2019-10-01,Analyst
14,2023-12-13,Director
14,2024-12-12,Manager
15,2016-05-11,Analyst
16,2017-03-24,Director
16,2018-03-24,Manager
16,2019-03-24,Analyst
17,2017-12-20,Manager
17,2018-12-20,Senior Analyst
18,2023-12-01,Manager
19,2018-01-10,Senior Analyst
19,2019-01-10,Senior Analyst
20,2017-03-08,Senior Analyst
21,2016-08-14,Manager
22,2018-02-02,Analyst
23,2018-09-13,Manager
23,2019-09-13,Senior Analyst
23,2020-09-12,Director
24,2022-12-17,Senior Analyst
25,2016-06-27,Senior Analyst
26,2019-04-30,Director
26,2020-04-29,Analyst
26,2021-04-29,Director
27,2022-03-16,Senior Analyst
27,2023-03-16,Director
28,2016-12-14,Manager
28,2017-12-14,Director
28,2018-12-14,Senior Analyst
29,2022-11-29,Senior Analyst
29,2023-11-29,Manager
29,2024-11-28,Director
30,2016-12-11,Manager
31,2022-03-12,Director
31,2023-03-12,Director
31,2024-03-11,Manager
32,2019-10-16,Director
32,2020-10-15,Senior Analyst
33,2018-12-25,Senior Analyst
34,2023-05-23,Analyst
34,2024-05-22,Director
35,2019-04-13,Analyst
35,2020-04-12,Analyst
36,2024-03-04,Analyst
36,2025-03-04,Senior Analyst
37,2017-07-04,Director
37,2018-07-04,Senior Analyst
38,2016-12-24,Analyst
38,2017-12-24,Senior Analyst
39,2021-07-26,Manager
39,2022-07-26,Analyst
40,2015-05-31,Analyst
40,2016-05-30,Director
41,2017-12-03,Manager
41,2018-12-03,Senior Analyst
41,2019-12-03,Director
42,2019-10-09,Manager
43,2016-01-11,Analyst
44,2022-07-22,Analyst
44,2023-07-22,Manager
45,2021-07-24,Senior Analyst
46,2021-05-14,Manager
47,2019-04-23,Senior Analyst
47,2020-04-22,Director
48,2022-04-14,Analyst
48,2023-04-14,Analyst
49,2021-10-15,Manager
50,2019-01-27,Senior Analyst
51,2022-01-29,Director
51,2023-01-29,Analyst
51,2024-01-29,Manager
52,2018-04-26,Manager
53,2022-09-14,Analyst
54,2022-09-12,Director
55,2020-11-23,Director
55,2021-11-23,Analyst
55,2022-11-23,Analyst
56,2020-10-29,Analyst
56,2021-10-29,Senior Analyst
57,2018-03-29,Senior Analyst
57,2019-03-29,Manager
57,2020-03-28,Director
58,2020-10-05,Manager
59,2016-09-20,Director
60,2020-07-23,Analyst
61,2016-07-08,Manager
61,2017-07-08,Analyst
61,2018-07-08,Analyst
62,2017-10-15,Director
62,2018-10-15,Analyst
63,2024-02-03,Director
63,2025-02-02,Manager
64,2020-09-04,Analyst
64,2021-09-04,Manager
65,2022-11-12,Manager
66,2024-02-24,Analyst
67,2016-08-25,Manager
67,2017-08-25,Senior Analyst
67,2018-08-25,Analyst
68,2020-11-28,Manager
68,2021-11-28,Senior Analyst
69,2015-08-12,Director
69,2016-08-11,Director
69,2017-08-11,Senior Analyst
70,2022-05-29,Analyst
71,2022-09-11,Director
71,2023-09-11,Analyst
71,2024-09-10,Manager
72,2017-06-14,Analyst
73,2023-02-18,Analyst
74,2020-01-06,Manager
74,2021-01-05,Director
75,2016-03-01,Director
75,2017-03-01,Manager
75,2018-03-01,Analyst
76,2017-11-14,Senior Analyst
76,2018-11-14,Manager
76,2019-11-14,Manager
77,2021-07-22,Manager
78,2017-02-12,Analyst
78,2018-02-12,Manager
79,2016-07-28,Director
79,2017-07-28,Director
80,2015-12-24,Manager
80,2016-12-23,Senior Analyst
81,2023-08-15,Director
81,2024-08-14,Manager
82,2018-04-11,Manager
82,2019-04-11,Analyst
82,2020-04-10,Director
83,2019-11-05,Director
84,2023-03-09,Senior Analyst
84,2024-03-08,Manager
84,2025-03-08,Manager
85,2023-07-29,Analyst
86,2018-07-13,Manager
86,2019-07-13,Manager
87,2023-08-18,Director
87,2024-08-17,Senior Analyst
88,2021-07-23,Director
88,2022-07-23,Manager
88,2023-07-23,Director
89,2019-11-21,Manager
90,2018-06-06,Director
90,2019-06-06,Manager
90,2020-06-05,Analyst
91,2020-04-26,Director
92,2016-03-16,Senior Analyst
92,2017-03-16,Analyst
93,2020-02-12,Director
94,2017-03-21,Senior Analyst
95,2020-06-12,Senior Analyst
96,2024-03-03,Manager
96,2025-03-03,Manager
97,2016-12-19,Analyst
97,2017-12-19,Senior Analyst
98,2016-07-22,Director
98,2017-07-22,Manager
98,2018-07-22,Manager
99,2020-03-07,Analyst
99,2021-03-07,Senior Analyst
100,2018-08-24,Manager
100,2019-08-24,Director
100,2020-08-23,Manager
101,2016-04-17,Manager
101,2017-04-17,Senior Analyst
101,2018-04-17,Analyst
