Date,Nominal_Price_USD,CPI_All_Items,Real_Price_USD
2015-01-01,2.113,233.707,2.89
2015-02-01,2.088,234.722,2.84
2015-03-01,2.133,236.119,2.89
2015-04-01,2.065,236.599,2.79
2015-05-01,1.962,237.805,2.64
2015-06-01,2.57,238.638,3.44
2015-07-01,2.57,238.654,3.44
2015-08-01,2.943,238.316,3.95
2015-09-01,2.966,237.945,3.99
2015-10-01,2.808,237.838,3.78
2015-11-01,2.664,237.336,3.59
2015-12-01,2.751,236.525,3.72
2016-01-01,2.328,236.916,3.14
2016-02-01,2.267,237.111,3.06
2016-03-01,2.081,238.132,2.79
2016-04-01,1.793,239.261,2.4
2016-05-01,1.684,240.229,2.24
2016-06-01,1.491,241.018,1.98
2016-07-01,1.546,240.628,2.05
2016-08-01,1.455,240.849,1.93
2016-09-01,1.471,241.428,1.95
2016-10-01,1.39,241.729,1.84
2016-11-01,1.321,241.353,1.75
2016-12-01,1.383,241.432,1.83
2017-01-01,1.599,242.839,2.11
2017-02-01,1.464,243.603,1.92
2017-03-01,1.404,243.801,1.84
2017-04-01,1.409,244.524,1.84
2017-05-01,1.414,244.733,1.85
2017-06-01,1.332,244.955,1.74
2017-07-01,1.333,244.786,1.74
2017-08-01,1.367,245.519,1.78
2017-09-01,1.422,246.819,1.84
2017-10-01,1.54,246.663,2.0
2017-11-01,1.506,246.669,1.95
2017-12-01,1.815,246.524,2.35
2018-01-01,1.769,247.867,2.28
2018-02-01,1.755,248.991,2.25
2018-03-01,1.831,249.554,2.35
2018-04-01,2.081,250.546,2.66
2018-05-01,1.987,251.588,2.53
2018-06-01,1.628,251.989,2.07
2018-07-01,1.725,252.006,2.19
2018-08-01,1.622,252.146,2.06
2018-09-01,1.651,252.439,2.09
2018-10-01,1.66,252.885,2.1
2018-11-01,1.596,252.038,2.03
2018-12-01,1.595,251.233,2.03
2019-01-01,1.554,251.712,1.97
2019-02-01,1.557,252.776,1.97
2019-03-01,1.544,254.202,1.94
2019-04-01,1.463,255.548,1.83
2019-05-01,1.362,256.092,1.7
2019-06-01,1.203,256.143,1.5
2019-07-01,1.243,256.571,1.55
2019-08-01,1.219,256.558,1.52
2019-09-01,1.383,256.759,1.72
2019-10-01,1.282,257.346,1.59
2019-11-01,1.405,257.208,1.75
2019-12-01,1.535,256.974,1.91
2020-01-01,1.461,257.971,1.81
2020-02-01,1.449,258.678,1.79
2020-03-01,1.525,258.115,1.89
2020-04-01,2.019,256.389,2.52
2020-05-01,1.64,256.394,2.05
2020-06-01,1.554,257.797,1.93
2020-07-01,1.401,259.101,1.73
2020-08-01,1.328,259.918,1.63
2020-09-01,1.353,260.28,1.66
2020-10-01,1.408,260.388,1.73
2020-11-01,1.45,260.229,1.78
2020-12-01,1.481,260.474,1.82
2021-01-01,1.466,261.582,1.79
2021-02-01,1.597,263.014,1.94
2021-03-01,1.625,264.877,1.96
2021-04-01,1.62,267.054,1.94
2021-05-01,1.625,269.195,1.93
2021-06-01,1.642,271.696,1.93
2021-07-01,1.642,273.003,1.92
2021-08-01,1.709,273.567,2.0
2021-09-01,1.835,274.31,2.14
2021-10-01,1.821,276.589,2.11
2021-11-01,1.718,277.948,1.98
2021-12-01,1.788,278.802,2.05
2022-01-01,1.929,281.148,2.19
2022-02-01,2.005,283.716,2.26
2022-03-01,2.046,287.504,2.28
2022-04-01,2.52,289.109,2.79
2022-05-01,2.863,292.296,3.13
2022-06-01,2.707,296.311,2.92
2022-07-01,2.936,296.276,3.17
2022-08-01,3.116,296.171,3.36
2022-09-01,2.902,296.808,3.13
2022-10-01,3.419,298.012,3.67
2022-11-01,3.589,297.711,3.86
2022-12-01,4.25,296.797,4.58
2023-01-01,4.823,299.17,5.16
2023-02-01,4.211,300.84,4.48
2023-03-01,3.446,301.836,3.65
2023-04-01,3.27,303.363,3.45
2023-05-01,2.666,304.127,2.8
2023-06-01,2.219,305.109,2.33
2023-07-01,2.094,305.691,2.19
2023-08-01,2.043,307.026,2.13
2023-09-01,2.065,307.789,2.15
2023-10-01,2.072,307.671,2.15
2023-11-01,2.138,307.051,2.23
2023-12-01,2.507,306.746,2.61
2024-01-01,2.522,308.417,2.62
2024-02-01,2.996,310.326,3.09
2024-03-01,2.992,312.332,3.06
2024-04-01,2.864,313.548,2.92
2024-05-01,2.699,314.069,2.75
2024-06-01,2.715,314.175,2.76
2024-07-01,3.08,314.54,3.13
2024-08-01,3.204,314.796,3.25
2024-09-01,3.821,315.301,3.88
2024-10-01,3.37,315.664,3.41
2024-11-01,3.649,315.493,3.7
2024-12-01,4.146,315.605,4.2
2025-01-01,4.953,317.671,4.99
2025-02-01,5.897,319.082,5.91
2025-03-01,6.227,319.799,6.23
